Master of Accountancy
Master of Advanced Study
Master of Applied Finance
Master of Applied Mathematical Sciences
Master of Applied Science
Master of Architecture
Master of Arts
Master of Arts in Archives and Records Management
Master of Arts in Liberal Studies
Master of Arts in Strategic Communication Management
Master of Arts in Teaching
Master of Bioinformatics
Master of Biotechnology
Master of Business Administration
Master of Business Administration Management of Technology
Master of Business
Master of Business Economics
Master of Business Engineering
Master of Business Informatics
Master of Chemistry
Master of City Planning
Master of Commerce
Master of Computational Finance
Master of Computer Applications
Master of Computer Science
Master of Communication
Master of Counseling
Master of Criminal Justice
Master in Creative Technologies
Master of Design
Master of Divinity
Master of Economics
Master of Education
Master of Educational Technology
Master of Engineering
Master of Engineering Management
Master of Enterprise
Master of European Law
Master of Finance
Master of Financial Economics
Master of Financial Engineering
Master of Financial Mathematics
Master of Fine Arts
Master of Health Administration
Master of Health Science
Master of Humanities
Master of Industrial and Labor Relations
Master of International Affairs
Master of International Business
Master of International Economics
Master of International Public Policy
Master of International Studies
Master of Information
Master of Information Management
Master of Information Systems
Master of Information System Management
Master of Islamic Studies
Master of IT
Master of Jurisprudence
Master of Laws
Master of Studies in Law
Master of Landscape Architecture
Master of Letters
Master of Liberal Arts
Master of Library and Information Science
Master of Management
Master of Mass Communication and Journalism
Master of Mathematical Finance
Master of Mathematics
Master of Mathematics and Computer Science
Master of Mathematics and Philosophy
Master of Medical Science
Master of Medicine
Master of Military Art and Science
Master of Music
Master of Network and Communications Management
Master of Occupational Therapy
Master of Pharmacy
Master of Philosophy
Master of Physician Assistant Studies
Master of Physics
Master of Political Science
Master of Professional Studies
Master of Psychology
Master of Public Administration
Master of Public Affairs
Master of Public Diplomacy
Master of Public Health
Master of Public Management
Master of Public Policy
Master of Public Relations
Master of Public Service
Master of Quantitative Finance
Master of Rabbinic Studies
Master of Real Estate Development
Master of Religious Education
Master of Research
Master of Sacred Music
Master of Sacred Theology
Master of Science
Master of Science in Applied Cognition and Neuroscience
Master of Science in Bioinformatics
Master of Science in Clinical Epidemiology
Master of Science in Computing Research
Master of Science in Cyber Security
Master of Science in Education
Master of Science in Engineering
Master of Science in Development Administration
Master of Science in Finance
Master of Science in Governance & Organizational Sciences
Master of Science in Government Contracts
Master of Science in Health Informatics
Master of Science in Human Resource Development
Master of Science in Information Assurance
Master of Science in Information Systems
Master of Science in Information Technology
Master of Science in Leadership
Master of Science in Management
Master of Science in Nursing
Master of Science in Project Management
Master of Science in Quality Assurance
Master of Science in Risk Management
Master of Science in Supply Chain Management
Master of Science in Teaching
Master of Science in Taxation
Master of Social Science
Master of Social Work
Master of Statistics
Master of Strategic Studies
Master of Studies
Master of Surgery
Master of Theological Studies
Master of Technology
Master of Theology
Master of Urban Planning
Master of Veterinary Science
Master of Accountancy (Macc MAc or MAcy)
Master of Advanced Study (MAS)
Master of Economics (Mecon)
Master of Applied Science (MASc MappSc MApplSc MASc and MAS)
Master of Architecture (March)
Master of Arts 
Master of Arts in Teaching (MAT)
Master of Arts in Liberal Studies 
Master of Business Administration (MBA)
Master of Business (MBus)
Master of Business Informatics (MBI)
Master of Chemistry (MChem)
Master of City Planning
Master of Commerce (MCom or MComm)
Master of Computational Finance (or Quantitative Finance)
Master of Computer Applications (MCA)
Master of Criminal Justice (MCJ)
Master in Creative Technologies
Master of Design 
Master of Divinity 
Master of Economics 
Master of Education 
Master of Engineering 
Master of Engineering Management (MEM)
Master of Enterprise 
Master of European Law 
Master of Finance 
Master of Financial Economics
Master of Financial Engineering (Master of Quantitative Finance)
Master of Financial Mathematics (Master of Quantitative Finance)
Master of Fine Arts (MFA)
Master of Health Administration (MHA)
Master of Health Science (MHS)
Master of Humanities (MH)
Master of Industrial and Labor Relations (MILR)
Master of International Affairs
Master of International Business
Masters in International Economics
Master of International Studies (MIS)
Master of Information System Management 
Master of IT
Master of Jurisprudence (MJ or MJur)
Master of Laws (LL.M. or LLM)
Master of Studies in Law (MSL)
Master of Landscape Architecture 
Master of Letters (MLitt)
Master of Liberal Arts 
Master of Library and Information Science (MLIS)
Master of Management (MM)
Master of Mathematical Finance
Master of Mathematics (or MMath)
Master of Medical Science
Master of Music 
Master of Occupational Therapy (OT)
Master of Pharmacy (MPharm or MPharm)
Master of Philosophy 
Master of Physician Assistant Studies
Master of Physics (MPhys)
Master of Political Science
Master of Professional Studies (MPS)
Master of Public Administration (MPA)
Master of Public Affairs 
Master of Public Health 
Master of Public Policy 
Master of Public Management
Master of Quantitative Finance
Master of Rabbinic Studies (MRb)
Master of Real Estate Development
Master of Religious Education
Master of Research - MSc(R)
Master of Sacred Music (MSM)
Master of Sacred Theology 
Master of Science 
Master of Science in Education
Master of Science in Engineering (MSE)
Master of Science in Finance 
Master of Science in Human Resource Development (HRD or MSHRD)
Master of Science in Information Systems (MSIS)
Master of Science in Information Systems Management (MSMIS)
Master of Science in Information Technology 
Master of Science in Leadership (MSL)
Master of Science in Management (MSc or MSM)
Master of Science in Nursing (MSN)
Master of Science in Project Management 
Master of Science in Supply Chain Management (SCM or MSSCM)
Master of Science in Teaching (MST)
Master of Science in Taxation
Master of Social Science (MSSc)
Master of Social Work (MSW)
Master of Studies 
Master of Surgery 
Master of Theological Studies 
Master of Theology 
Master of Urban Planning
Master of Veterinary Science (MVSC or MVSc)
Advanced Theological Studies (M)
African Studies (M)
Ancient History and Classical Studies (M)
Ancient Near Eastern Languages and Oriental Archaeology (M)
Anglophone Literatures and Cultures (M)
Anthropology (M)
Applied Linguistics (M)
The Arab World: Language and Society (M)
Astronomy (M)
"Austrian Studies - Cultures, Literatures, Languages (M)"
"Behavior, Neurobiology and Cognition (M)"
Biological Chemistry (M)
Botany (M)
Business Administration (M)
Business Informatics (M)
Byzantine and Modern Greek Studies (M)
Cartography and Geographic Information Science (M)
Religious Education (M)
Chemistry (M)
Chemistry and Technology of Materials (M)
Chinese Studies (M)
Classical Archaeology (M)
Classical Philology (Latin) (M)
Classical Philology (Greek) (M)
Comparative Literature (M)
Communication Science (M)
Computational Science (M)
Conservation Biology and Biodiversity Management (M)
CREOLE - Cultural Differences and Transnational Processes (M)
Culture and Society of Modern South Asia (M)
Didactics of Informatics (M)
Dutch Studies (M)
Earth Sciences (M)
East Asian Economy and Society  (M)
Ecology and Ecosystems (M)
Economics (MAG)
Education (M)
English Language and Linguistics (M)
Environmental Sciences (M)
European Ethnology (M)
European Master in Health and Physical Activity (M)
Evolutionary Biology (M)
Finno-Ugrian Studies (M)
Gender Studies (M)
General Linguistics: Grammar Theory and Cognitive Linguistics (M)
General Slavonic Studies (M)
Genetics and Developmental Biology (M)
Geography (M)
German as a Foreign and Second Language (M)
German Studies (M)
Global History (ERASMUS MUNDUS) (M)
"Historical Research, Historical Ancillary Sciences and Archiving (M)"
History (M)
History of Art and Architecture (M)
"History of Theatre, Film and Media (M)"
Hungarian Studies (M)
Indo-European Studies and Historical Linguistics (M)
Interdisciplinary East European Studies (M)
International Business Administration (M)
International Development (M)
Islamic Religious Education  (M)
Islamic Studies (M)
Japanese Studies (M)
Jewish Studies (M)
Korean Studies (M)
Languages and Cultures of South Asia (M)
Mass Media and Communication Science (MAG)
Mathematics (M)
MATILDA: European Master in Women's and Gender History (M)
Media Informatics (M)
Mediaeval and Neolatin Studies (M)
Meteorology (M)
Middle European interdisciplinary master programme in Cognitive Science (M)
Molecular Biology (M)
"Molecular Microbiology, Microbial Ecology and Immunobiology (M)"
Musicology (M)
Numismatics and the History of Money (IMS)
Nursing Science (M)
Nutritional Science (M)
Palaeobiology (M)
Philosophy (M)
Philosophy and History of Science (M)
Physics (M)
Physics of the Earth (Geophysics) (M)
Political Science  (M)
Prehistoric and Historical Archaeology (M)
Protestant Theology (M)
Psychology (M)
Regional Research and Regional Planning (M)
Religious Studies (M)
Romance Studies (M)
Scandinavian Studies (M)
Science - Technology - Society (M)
Scientific Computing (M)
Slavonic Studies (M)
Social and Cultural Anthropology (M)
Sociology (M)
Sports Sciences (MAG)
Statistics (MAG)
Studies in Egyptology (M)
"Theory of Theatre, Film and Media (M)"
Tibetan and Buddhist Studies (M)
Translation (M)
Turkish Studies (M)
Urban Studies (M)
Zoology (M)
Doctor of Business Administration
Doctor of Canon Law
Doctor of Chiropractic
Doctor of Commerce
Doctor of Dental Surgery
Doctor of Divinity
Doctor of Education
Doctor of Engineering
Doctor of Health Administration
Doctor of Health Science
Doctor of Juridical Science; Juris Doctor
Doctor of Law; Legum Doctor
Doctor of Liberal Studies
Doctor of Management
Doctor of Medicine
Doctor of Ministry
Doctor of Musical Arts
Doctor of Naturopathic Medicine
Doctor of Optometry
Doctor of Osteopathic Medicine
Doctor of Pharmacy
Doctor of Philosophy
Doctor of Public Administration
Doctor of Science
Doctor of Theology
Doctor of Veterinary Medicine
